purchase_id,purchase_date,product_id,supplier_id,quantity,unit_cost,total_cost,freight
A000502,2024-08-10,P001,S006,117,12338,1443546,63537
A000503,2024-08-10,P016,S001,120,894,107280,7040
A000504,2024-08-12,P013,S006,118,2170,256060,10174
A000505,2024-08-12,P008,S003,210,447,93870,4034
A000506,2024-08-12,P019,S007,138,2191,302358,12911
A000507,2024-08-12,P020,S003,531,10085,5355135,305947
A000508,2024-08-12,P014,S001,141,735,103635,5589
A000509,2024-08-12,P019,S002,214,2118,453252,13263
A000510,2024-08-14,P006,S002,130,4585,596050,26893
A000511,2024-08-14,P002,S002,390,10748,4191720,288944
A000512,2024-08-14,P003,S003,238,1783,424354,29959
A000513,2024-08-14,P014,S007,281,789,221709,11661
A000514,2024-08-16,P009,S006,396,1346,533016,39076
A000515,2024-08-16,P003,S006,267,1752,467784,20532
A000516,2024-08-16,P010,S003,204,247,50388,3026
A000517,2024-08-16,P008,S001,100,411,41100,2152
A000518,2024-08-16,P009,S007,141,1353,190773,11750
A000519,2024-08-16,P003,S001,138,1927,265926,14576
A000520,2024-08-18,P010,S006,100,236,23600,1172
A000521,2024-08-18,P014,S004,420,707,296940,16669
A000522,2024-08-18,P004,S007,176,8063,1419088,56222
A000523,2024-08-18,P018,S006,100,1686,168600,5343
A000524,2024-08-18,P016,S002,349,901,314449,20282
A000525,2024-08-18,P019,S003,154,2210,340340,16595
A000526,2024-08-18,P012,S006,143,880,125840,8876
A000527,2024-08-20,P007,S007,203,570,115710,6877
A000528,2024-08-20,P001,S006,146,11648,1700608,51558
A000529,2024-08-20,P010,S003,168,274,46032,3020
A000530,2024-08-20,P015,S002,191,699,133509,7565
A000531,2024-08-20,P015,S005,241,684,164844,5672
A000532,2024-08-22,P005,S007,418,673,281314,18049
A000533,2024-08-24,P007,S005,335,529,177215,11329
A000534,2024-08-24,P016,S002,164,863,141532,8349
A000535,2024-08-24,P013,S003,207,2303,476721,24628
A000536,2024-08-24,P003,S006,342,1792,612864,22277
A000537,2024-08-24,P002,S005,220,9947,2188340,92371
A000538,2024-08-24,P003,S007,177,1837,325149,11675
A000539,2024-08-24,P010,S007,127,252,32004,962
A000540,2024-08-26,P006,S004,241,4842,1166922,53660
A000541,2024-08-26,P016,S002,290,956,277240,18476
A000542,2024-08-26,P008,S002,156,448,69888,3467
A000543,2024-08-26,P003,S005,152,1775,269800,13492
A000544,2024-08-26,P003,S007,156,1871,291876,16274
A000545,2024-08-26,P006,S004,291,4308,1253628,35910
A000546,2024-08-26,P020,S007,309,9694,2995446,176060
A000547,2024-08-28,P012,S003,237,951,225387,13273
A000548,2024-08-28,P012,S002,293,900,263700,7253
A000549,2024-08-28,P009,S003,122,1248,152256,10374
A000550,2024-08-28,P011,S005,127,299,37973,1189
A000551,2024-08-28,P002,S001,115,10995,1264425,50943
A000552,2024-08-30,P010,S003,204,242,49368,1755
A000553,2024-08-30,P010,S002,100,249,24900,1678
A000554,2024-09-01,P003,S004,157,1710,268470,13056
A000555,2024-09-01,P001,S006,238,12288,2924544,84895
A000556,2024-09-01,P014,S004,111,739,82029,3139
A000557,2024-09-03,P017,S002,384,1638,628992,15796
A000558,2024-09-03,P004,S004,232,8538,1980816,130375
A000559,2024-09-03,P004,S007,100,8142,814200,59429
A000560,2024-09-03,P002,S005,160,10257,1641120,43291
A000561,2024-09-03,P004,S002,578,7764,4487592,320106
A000562,2024-09-03,P008,S005,207,478,98946,3434
A000563,2024-09-05,P017,S005,104,1801,187304,11737
A000564,2024-09-05,P005,S003,236,652,153872,11470
A000565,2024-09-05,P015,S005,234,706,165204,10723
A000566,2024-09-05,P015,S007,145,723,104835,4642
A000567,2024-09-05,P020,S004,123,9778,1202694,86353
A000568,2024-09-07,P001,S001,279,12472,3479688,101278
A000569,2024-09-07,P007,S002,290,565,163850,4134
A000570,2024-09-07,P018,S004,100,1732,173200,10207
A000571,2024-09-07,P011,S006,104,304,31616,1743
A000572,2024-09-07,P009,S003,206,1376,283456,16517
A000573,2024-09-07,P016,S007,205,892,182860,4874
A000574,2024-09-09,P019,S001,246,2352,578592,21040
A000575,2024-09-09,P003,S007,265,1756,465340,33101
A000576,2024-09-09,P006,S003,100,4959,495900,35305
A000577,2024-09-09,P001,S006,150,13100,1965000,128224
A000578,2024-09-09,P019,S005,210,2158,453180,15438
A000579,2024-09-09,P019,S002,232,2218,514576,31313
A000580,2024-09-11,P014,S001,395,727,287165,9717
A000581,2024-09-11,P005,S002,100,669,66900,2601
A000582,2024-09-11,P018,S004,279,1701,474579,25817
A000583,2024-09-11,P010,S002,100,248,24800,695
A000584,2024-09-11,P012,S001,183,934,170922,9729
A000585,2024-09-11,P018,S004,180,1701,306180,18654
A000586,2024-09-11,P015,S007,158,760,120080,5589
A000587,2024-09-13,P019,S002,503,2073,1042719,56060
A000588,2024-09-13,P020,S001,345,9571,3301995,205696
A000589,2024-09-13,P020,S005,643,10212,6566316,437227
A000590,2024-09-13,P015,S002,552,725,400200,14565
A000591,2024-09-13,P002,S002,361,10363,3741043,263976
A000592,2024-09-13,P016,S002,112,911,102032,2744
A000593,2024-09-15,P014,S002,100,770,77000,2644
A000594,2024-09-15,P019,S001,142,2205,313110,9739
A000595,2024-09-15,P019,S002,221,2199,485979,20157
A000596,2024-09-17,P003,S006,203,1827,370881,18206
A000597,2024-09-17,P008,S001,112,430,48160,3170
A000598,2024-09-17,P017,S004,112,1666,186592,8388
A000599,2024-09-17,P001,S006,197,13349,2629753,162826
A000600,2024-09-19,P010,S002,320,243,77760,3742
A000601,2024-09-19,P012,S002,100,906,90600,2562
A000602,2024-09-19,P017,S003,163,1606,261778,9820
A000603,2024-09-19,P011,S007,452,294,132888,4455
A000604,2024-09-19,P008,S002,138,461,63618,3201
A000605,2024-09-19,P012,S007,152,851,129352,7330
A000606,2024-09-19,P004,S004,188,8129,1528252,79120
A000607,2024-09-21,P003,S003,235,1827,429345,20037
A000608,2024-09-21,P013,S006,477,2057,981189,41147
A000609,2024-09-21,P016,S007,179,904,161816,12036
A000610,2024-09-21,P004,S006,166,8591,1426106,51675
A000611,2024-09-23,P005,S003,176,657,115632,7789
A000612,2024-09-23,P004,S007,167,8067,1347189,74605
A000613,2024-09-23,P019,S007,261,2292,598212,37934
A000614,2024-09-23,P007,S001,141,550,77550,5066
A000615,2024-09-25,P003,S004,144,1737,250128,14161
A000616,2024-09-25,P009,S003,100,1260,126000,4968
A000617,2024-09-25,P019,S007,100,2040,204000,5765
A000618,2024-09-25,P020,S001,100,10146,1014600,65024
A000619,2024-09-25,P010,S002,117,262,30654,1221
A000620,2024-09-25,P016,S002,189,873,164997,6931
A000621,2024-09-27,P006,S006,138,4580,632040,38657
A000622,2024-09-27,P012,S001,131,828,108468,7611
A000623,2024-09-27,P014,S006,489,757,370173,14360
A000624,2024-09-27,P019,S002,154,2262,348348,19458
A000625,2024-09-29,P016,S007,326,907,295682,10792
A000626,2024-09-29,P019,S004,355,2224,789520,41401
A000627,2024-09-29,P009,S002,174,1248,217152,8864
A000628,2024-09-29,P010,S003,152,260,39520,2172
A000629,2024-10-01,P017,S003,122,1653,201666,8782
A000630,2024-10-01,P009,S007,132,1275,168300,8564
A000631,2024-10-01,P020,S005,233,9595,2235635,100256
A000632,2024-10-03,P001,S007,236,13089,3089004,88568
A000633,2024-10-03,P018,S004,100,1694,169400,10408
A000634,2024-10-03,P006,S001,477,4672,2228544,163385
A000635,2024-10-03,P011,S004,280,304,85120,2652
A000636,2024-10-05,P003,S005,409,1873,766057,29520
A000637,2024-10-07,P014,S005,128,756,96768,6829
A000638,2024-10-09,P002,S003,798,10110,8067780,299037
A000639,2024-10-09,P002,S002,328,9950,3263600,217264
A000640,2024-10-09,P003,S004,132,1783,235356,12078
A000641,2024-10-09,P012,S004,268,842,225656,13129
A000642,2024-10-09,P006,S002,100,5004,500400,30715
A000643,2024-10-11,P016,S006,196,914,179144,9478
A000644,2024-10-11,P018,S005,222,1777,394494,12920
A000645,2024-10-13,P020,S001,122,9859,1202798,82227
A000646,2024-10-13,P019,S004,311,2251,700061,30697
A000647,2024-10-15,P007,S001,212,548,116176,5520
A000648,2024-10-15,P017,S005,146,1594,232724,8856
A000649,2024-10-15,P013,S007,289,2079,600831,22792
A000650,2024-10-15,P007,S007,274,549,150426,5412
A000651,2024-10-17,P002,S002,243,11006,2674458,175473
A000652,2024-10-19,P008,S003,100,466,46600,1274
A000653,2024-10-19,P004,S002,348,8346,2904408,74345
A000654,2024-10-19,P001,S001,100,11867,1186700,37630
A000655,2024-10-21,P017,S001,205,1685,345425,14645
A000656,2024-10-21,P014,S006,100,775,77500,4612
A000657,2024-10-21,P016,S002,287,881,252847,11046
A000658,2024-10-21,P008,S007,100,460,46000,2134
A000659,2024-10-21,P006,S002,100,4746,474600,33795
A000660,2024-10-21,P013,S001,100,2106,210600,13502
A000661,2024-10-21,P019,S001,415,2243,930845,28292
A000662,2024-10-21,P008,S003,196,456,89376,3564
A000663,2024-10-23,P020,S007,125,9196,1149500,53724
A000664,2024-10-23,P018,S003,153,1755,268515,15713
A000665,2024-10-23,P020,S007,136,9351,1271736,61477
A000666,2024-10-23,P015,S003,100,666,66600,4206
A000667,2024-10-23,P006,S002,147,5059,743673,23556
A000668,2024-10-23,P020,S001,154,9789,1507506,98768
A000669,2024-10-25,P001,S001,124,12709,1575916,86053
A000670,2024-10-25,P008,S003,320,459,146880,10023
A000671,2024-10-25,P003,S006,237,1687,399819,19484
A000672,2024-10-27,P004,S006,232,8321,1930472,95850
A000673,2024-10-27,P007,S004,283,522,147726,7490
A000674,2024-10-27,P019,S003,100,2224,222400,15215
A000675,2024-10-27,P011,S003,253,294,74382,2251
A000676,2024-10-27,P010,S002,167,257,42919,1588
A000677,2024-10-29,P005,S003,186,644,119784,8092
A000678,2024-10-29,P004,S003,145,8248,1195960,74536
A000679,2024-10-29,P002,S005,317,10761,3411237,141900
A000680,2024-10-29,P016,S005,219,959,210021,15293
A000681,2024-10-29,P001,S005,251,12635,3171385,124998
A000682,2024-10-29,P009,S003,313,1345,420985,30921
A000683,2024-10-29,P020,S004,136,9986,1358096,66147
A000684,2024-10-29,P017,S001,212,1574,333688,22692
A000685,2024-10-31,P011,S001,100,301,30100,798
A000686,2024-10-31,P015,S003,127,724,91948,5409
A000687,2024-10-31,P004,S003,148,8330,1232840,54295
A000688,2024-10-31,P008,S003,111,472,52392,2091
A000689,2024-11-02,P010,S004,100,262,26200,934
A000690,2024-11-04,P014,S007,100,726,72600,2940
A000691,2024-11-04,P004,S004,160,8182,1309120,95785
A000692,2024-11-04,P019,S001,129,2098,270642,10769
A000693,2024-11-04,P014,S002,259,716,185444,11906
A000694,2024-11-04,P003,S006,107,1740,186180,6434
A000695,2024-11-04,P018,S001,515,1682,866230,44027
A000696,2024-11-04,P019,S006,120,2144,257280,12258
A000697,2024-11-06,P014,S007,149,737,109813,3843
A000698,2024-11-08,P003,S004,119,1749,208131,7428
A000699,2024-11-08,P018,S001,245,1824,446880,12168
A000700,2024-11-08,P009,S001,153,1231,188343,10320
A000701,2024-11-08,P009,S004,447,1241,554727,20670
A000702,2024-11-10,P008,S005,145,447,64815,3199
A000703,2024-11-10,P012,S006,184,953,175352,10224
A000704,2024-11-10,P012,S005,127,868,110236,7525
A000705,2024-11-10,P002,S002,123,10607,1304661,79618
A000706,2024-11-10,P005,S004,112,661,74032,3164
A000707,2024-11-12,P012,S003,229,937,214573,12622
A000708,2024-11-12,P013,S007,249,2159,537591,21656
A000709,2024-11-12,P014,S004,168,770,129360,7756
A000710,2024-11-12,P003,S001,181,1710,309510,21469
A000711,2024-11-12,P013,S003,208,2149,446992,16956
A000712,2024-11-12,P017,S005,145,1782,258390,8264
A000713,2024-11-14,P016,S003,233,852,198516,5659
A000714,2024-11-14,P012,S007,133,903,120099,5153
A000715,2024-11-14,P012,S004,130,909,118170,7965
A000716,2024-11-16,P020,S001,123,9778,1202694,85014
A000717,2024-11-16,P003,S007,100,1819,181900,8166
A000718,2024-11-18,P012,S006,172,865,148780,5939
A000719,2024-11-18,P004,S002,248,8166,2025168,149135
A000720,2024-11-18,P006,S007,171,4883,834993,62539
A000721,2024-11-20,P003,S006,204,1797,366588,24929
A000722,2024-11-20,P018,S006,698,1741,1215218,35621
A000723,2024-11-20,P014,S004,379,700,265300,14149
A000724,2024-11-22,P005,S004,564,649,366036,21740
A000725,2024-11-22,P005,S004,304,637,193648,12485
A000726,2024-11-24,P019,S004,100,2319,231900,8067
A000727,2024-11-26,P020,S005,176,9698,1706848,66050
A000728,2024-11-28,P019,S005,155,2175,337125,9431
A000729,2024-11-28,P020,S004,211,9388,1980868,131358
A000730,2024-11-28,P007,S007,231,568,131208,6435
A000731,2024-11-30,P011,S005,100,294,29400,1654
A000732,2024-11-30,P003,S003,433,1604,694532,49925
A000733,2024-11-30,P018,S001,104,1891,196664,8966
A000734,2024-11-30,P002,S005,130,10414,1353820,58988
A000735,2024-11-30,P003,S002,225,1832,412200,15757
A000736,2024-11-30,P010,S003,170,258,43860,2126
A000737,2024-11-30,P018,S006,426,1796,765096,37524
A000738,2024-12-02,P017,S001,138,1722,237636,17213
A000739,2024-12-04,P012,S004,249,898,223602,10134
A000740,2024-12-04,P009,S007,183,1296,237168,11250
A000741,2024-12-04,P003,S007,137,1653,226461,16626
A000742,2024-12-04,P012,S003,249,940,234060,12378
A000743,2024-12-04,P009,S002,108,1324,142992,9782
A000744,2024-12-04,P010,S004,724,252,182448,7577
A000745,2024-12-04,P004,S005,114,8433,961362,38002
A000746,2024-12-04,P004,S005,364,8331,3032484,116460
A000747,2024-12-06,P001,S005,146,12419,1813174,105595
A000748,2024-12-08,P006,S001,272,4454,1211488,36769
A000749,2024-12-08,P020,S005,167,9215,1538905,82805
A000750,2024-12-08,P003,S002,100,1765,176500,8821
A000751,2024-12-08,P017,S004,184,1650,303600,16463
A000752,2024-12-08,P004,S004,342,8282,2832444,77768
A000753,2024-12-10,P014,S004,347,727,252269,13249
A000754,2024-12-10,P001,S002,260,13211,3434860,174471
A000755,2024-12-10,P015,S005,148,717,106116,7534
A000756,2024-12-10,P003,S006,159,1752,278568,14126
A000757,2024-12-10,P019,S005,153,2164,331092,14577
A000758,2024-12-10,P016,S007,188,895,168260,8508
A000759,2024-12-10,P002,S005,243,10487,2548341,173845
A000760,2024-12-12,P012,S004,296,976,288896,12721
A000761,2024-12-12,P011,S003,256,305,78080,2719
A000762,2024-12-12,P013,S005,223,2279,508217,37243
A000763,2024-12-12,P020,S007,157,9875,1550375,61416
A000764,2024-12-12,P003,S006,100,1856,185600,12848
A000765,2024-12-12,P002,S002,100,10687,1068700,62888
A000766,2024-12-12,P007,S001,132,525,69300,2756
A000767,2024-12-12,P015,S004,100,694,69400,4905
A000768,2024-12-14,P019,S002,142,2147,304874,10185
A000769,2024-12-14,P001,S006,278,12748,3543944,111531
A000770,2024-12-14,P005,S007,396,689,272844,13137
A000771,2024-12-16,P019,S006,171,2205,377055,13984
A000772,2024-12-16,P009,S003,305,1346,410530,10345
A000773,2024-12-16,P013,S005,362,2028,734136,52239
A000774,2024-12-16,P002,S003,176,10415,1833040,58256
A000775,2024-12-16,P020,S007,100,10250,1025000,70257
A000776,2024-12-18,P015,S006,298,726,216348,5726
A000777,2024-12-18,P009,S007,100,1361,136100,4551
A000778,2024-12-18,P007,S005,100,539,53900,3494
A000779,2024-12-18,P001,S007,289,11517,3328413,135800
A000780,2024-12-20,P010,S006,118,253,29854,1118
A000781,2024-12-20,P002,S002,209,10555,2205995,78842
A000782,2024-12-20,P013,S004,220,2214,487080,13035
A000783,2024-12-22,P011,S007,481,302,145262,7911
A000784,2024-12-22,P007,S001,263,554,145702,4531
A000785,2024-12-22,P018,S001,128,1878,240384,9637
A000786,2024-12-24,P002,S003,253,10585,2678005,70286
A000787,2024-12-24,P018,S002,546,1762,962052,62980
A000788,2024-12-24,P013,S005,137,2091,286467,15683
A000789,2024-12-24,P016,S003,184,909,167256,7856
A000790,2024-12-26,P006,S002,100,4607,460700,33872
A000791,2024-12-26,P009,S002,534,1272,679248,29269
A000792,2024-12-26,P018,S005,309,1804,557436,15425
A000793,2024-12-28,P014,S007,154,742,114268,3431
A000794,2024-12-28,P009,S006,263,1306,343478,18111
A000795,2024-12-28,P004,S006,154,8266,1272964,69025
A000796,2024-12-28,P013,S005,300,2237,671100,30492
A000797,2024-12-28,P006,S001,154,4816,741664,20290
A000798,2024-12-28,P007,S001,241,554,133514,3570
A000799,2024-12-28,P019,S002,139,2074,288286,21523
A000800,2024-12-30,P012,S007,159,870,138330,6160
A000801,2025-01-01,P019,S007,161,2496,401856,15614
A000802,2025-01-01,P015,S007,100,799,79900,2831
A000803,2025-01-01,P017,S007,200,1865,373000,14309
A000804,2025-01-03,P001,S002,100,14503,1450300,89302
A000805,2025-01-03,P016,S001,196,995,195020,7621
A000806,2025-01-03,P005,S007,212,764,161968,11761
A000807,2025-01-05,P009,S001,167,1480,247160,11576
A000808,2025-01-05,P013,S007,147,2574,378378,20678
A000809,2025-01-07,P002,S002,185,11846,2191510,67337
A000810,2025-01-07,P008,S006,132,495,65340,1819
A000811,2025-01-07,P010,S006,217,282,61194,2892
A000812,2025-01-07,P004,S004,244,9179,2239676,144870
A000813,2025-01-07,P009,S007,184,1346,247664,9456
A000814,2025-01-07,P009,S002,332,1396,463472,32360
A000815,2025-01-07,P012,S004,108,1004,108432,3199
A000816,2025-01-07,P002,S004,118,11990,1414820,102481
A000817,2025-01-09,P019,S005,307,2372,728204,32943
A000818,2025-01-09,P012,S004,100,979,97900,4876
A000819,2025-01-09,P013,S004,234,2526,591084,41875
A000820,2025-01-09,P009,S001,122,1417,172874,5548
A000821,2025-01-09,P004,S004,113,9681,1093953,81937
A000822,2025-01-09,P005,S001,148,733,108484,2801
A000823,2025-01-11,P011,S005,233,328,76424,3030
A000824,2025-01-11,P019,S001,109,2460,268140,13902
A000825,2025-01-11,P008,S004,163,467,76121,2041
A000826,2025-01-11,P015,S005,126,822,103572,2677
A000827,2025-01-13,P016,S003,114,1188,135432,5230
A000828,2025-01-15,P004,S002,209,9100,1901900,139662
A000829,2025-01-15,P005,S006,444,713,316572,7955
A000830,2025-01-15,P007,S007,222,622,138084,5778
A000831,2025-01-15,P019,S003,285,2434,693690,23338
A000832,2025-01-15,P009,S001,217,1368,296856,13854
A000833,2025-01-15,P011,S003,296,335,99160,2907
A000834,2025-01-17,P001,S002,100,14161,1416100,49641
A000835,2025-01-17,P007,S004,102,674,68748,3858
A000836,2025-01-17,P016,S005,166,1029,170814,11396
A000837,2025-01-17,P018,S001,330,2099,692670,50230
A000838,2025-01-17,P013,S001,113,2528,285664,7348
A000839,2025-01-17,P004,S003,317,9703,3075851,173334
A000840,2025-01-17,P020,S004,304,10244,3114176,108814
A000841,2025-01-17,P004,S002,803,9359,7515277,438279
A000842,2025-01-19,P013,S002,256,2612,668672,23448
A000843,2025-01-19,P013,S002,108,2507,270756,6965
A000844,2025-01-19,P013,S001,166,2738,454508,14342
A000845,2025-01-19,P011,S006,195,324,63180,2212
A000846,2025-01-19,P002,S001,174,12223,2126802,151154
A000847,2025-01-19,P007,S003,118,628,74104,3494
A000848,2025-01-19,P004,S005,232,9371,2174072,112540
A000849,2025-01-21,P011,S003,183,313,57279,4035
A000850,2025-01-21,P013,S001,375,2615,980625,48369
A000851,2025-01-21,P001,S003,733,14197,10406401,769180
A000852,2025-01-21,P008,S004,159,484,76956,2300
A000853,2025-01-21,P007,S007,213,648,138024,5155
A000854,2025-01-21,P018,S005,171,2085,356535,9325
A000855,2025-01-23,P006,S001,100,5280,528000,32802
A000856,2025-01-23,P020,S002,196,11156,2186576,103309
A000857,2025-01-25,P017,S007,237,1931,457647,14196
A000858,2025-01-25,P012,S004,130,919,119470,7813
A000859,2025-01-25,P001,S003,100,13950,1395000,67294
A000860,2025-01-27,P013,S003,190,2559,486210,20353
A000861,2025-01-29,P020,S007,200,10773,2154600,67944
A000862,2025-01-29,P011,S007,100,325,32500,1320
A000863,2025-01-29,P019,S002,202,2551,515302,28899
A000864,2025-01-31,P013,S006,101,2330,235330,12270
A000865,2025-02-02,P008,S005,379,481,182299,6895
A000866,2025-02-02,P012,S004,366,1006,368196,9478
A000867,2025-02-02,P007,S006,100,658,65800,4595
A000868,2025-02-04,P012,S005,100,980,98000,5376
A000869,2025-02-04,P010,S005,100,269,26900,1106
A000870,2025-02-04,P010,S005,173,270,46710,2880
A000871,2025-02-04,P012,S005,100,961,96100,2934
A000872,2025-02-04,P008,S004,100,481,48100,2335
A000873,2025-02-04,P019,S001,100,2424,242400,14955
A000874,2025-02-04,P004,S007,100,9785,978500,24557
A000875,2025-02-06,P007,S001,407,663,269841,11507
A000876,2025-02-06,P018,S002,258,2072,534576,31743
A000877,2025-02-06,P006,S004,182,5345,972790,28771
A000878,2025-02-08,P018,S007,457,2082,951474,29300
A000879,2025-02-08,P004,S006,218,9122,1988596,91845
A000880,2025-02-08,P008,S004,100,506,50600,1816
A000881,2025-02-10,P001,S003,158,14653,2315174,72132
A000882,2025-02-10,P006,S003,100,5769,576900,18383
A000883,2025-02-10,P008,S007,538,445,239410,13894
A000884,2025-02-10,P003,S005,245,2161,529445,18055
A000885,2025-02-10,P009,S003,134,1492,199928,8629
A000886,2025-02-10,P003,S007,329,2215,728735,53466
A000887,2025-02-10,P012,S002,413,964,398132,10616
A000888,2025-02-10,P012,S006,216,969,209304,8949
A000889,2025-02-12,P011,S007,142,344,48848,3608
A000890,2025-02-12,P015,S002,198,814,161172,8091
A000891,2025-02-12,P019,S004,169,2312,390728,14373
A000892,2025-02-12,P001,S007,296,15292,4526432,146231
A000893,2025-02-12,P002,S001,224,11375,2548000,108780
A000894,2025-02-12,P012,S007,174,949,165126,5223
A000895,2025-02-14,P004,S004,265,9878,2617670,148593
A000896,2025-02-14,P016,S003,528,994,524832,18504
A000897,2025-02-14,P010,S007,179,289,51731,1923
A000898,2025-02-14,P017,S004,214,1895,405530,17965
A000899,2025-02-14,P017,S004,477,1842,878634,61850
A000900,2025-02-14,P001,S003,100,15020,1502000,77460
A000901,2025-02-16,P011,S005,148,318,47064,2903
A000902,2025-02-16,P015,S002,132,805,106260,2964
A000903,2025-02-16,P008,S003,238,463,110194,4810
A000904,2025-02-16,P016,S001,203,1063,215789,13479
A000905,2025-02-16,P019,S004,174,2758,479892,13206
A000906,2025-02-16,P016,S006,226,994,224644,8850
A000907,2025-02-16,P014,S001,142,879,124818,3308
A000908,2025-02-18,P015,S005,525,786,412650,11427
A000909,2025-02-18,P012,S005,106,1046,110876,6387
A000910,2025-02-18,P008,S005,154,504,77616,4922
A000911,2025-02-20,P004,S003,253,9493,2401729,91613
A000912,2025-02-20,P002,S007,358,11149,3991342,105602
A000913,2025-02-20,P016,S007,272,979,266288,14122
A000914,2025-02-20,P002,S004,279,12265,3421935,244594
A000915,2025-02-20,P002,S006,167,12620,2107540,71445
A000916,2025-02-20,P009,S001,610,1484,905240,52478
A000917,2025-02-22,P002,S004,211,13416,2830776,196453
A000918,2025-02-22,P007,S003,112,593,66416,4113
A000919,2025-02-22,P010,S004,154,275,42350,1584
A000920,2025-02-22,P009,S001,117,1424,166608,11942
A000921,2025-02-22,P005,S004,300,771,231300,12022
A000922,2025-02-24,P011,S006,121,324,39204,1381
A000923,2025-02-24,P020,S004,329,9985,3285065,149350
A000924,2025-02-24,P020,S003,137,10911,1494807,84407
A000925,2025-02-24,P009,S004,135,1390,187650,10225
A000926,2025-02-26,P019,S001,100,2532,253200,13855
A000927,2025-02-26,P009,S007,100,1349,134900,5092
A000928,2025-02-26,P007,S001,161,579,93219,3770
A000929,2025-02-26,P015,S007,276,766,211416,13057
A000930,2025-02-26,P006,S007,232,5340,1238880,81552
A000931,2025-02-26,P016,S001,417,1048,437016,32751
A000932,2025-02-28,P018,S004,106,1988,210728,9573
A000933,2025-02-28,P020,S001,416,10391,4322656,248115
A000934,2025-02-28,P008,S004,186,494,91884,2499
A000935,2025-03-02,P001,S005,221,14288,3157648,128820
A000936,2025-03-02,P008,S007,138,485,66930,1972
A000937,2025-03-02,P003,S005,233,2112,492096,26284
A000938,2025-03-02,P012,S006,412,995,409940,18489
A000939,2025-03-02,P017,S006,153,1903,291159,20060
A000940,2025-03-02,P001,S007,189,14096,2664144,153554
A000941,2025-03-02,P016,S006,135,1063,143505,10021
A000942,2025-03-02,P006,S002,112,5643,632016,45572
A000943,2025-03-04,P019,S006,219,2446,535674,22900
A000944,2025-03-04,P018,S005,301,1895,570395,27477
A000945,2025-03-04,P003,S005,276,2166,597816,29043
A000946,2025-03-04,P008,S001,281,505,141905,9299
A000947,2025-03-04,P015,S006,122,793,96746,7220
A000948,2025-03-04,P003,S006,138,2067,285246,16606
A000949,2025-03-04,P016,S003,365,1052,383980,20882
A000950,2025-03-06,P004,S005,474,9302,4409148,120584
A000951,2025-03-06,P013,S007,406,2412,979272,52779
A000952,2025-03-08,P011,S005,292,366,106872,5147
A000953,2025-03-08,P002,S003,117,11617,1359189,74294
A000954,2025-03-08,P014,S004,229,881,201749,8809
A000955,2025-03-08,P009,S005,163,1471,239773,6085
A000956,2025-03-08,P018,S006,100,1914,191400,12399
A000957,2025-03-08,P005,S002,195,763,148785,6718
A000958,2025-03-10,P006,S005,100,5628,562800,28772
A000959,2025-03-10,P006,S004,133,5470,727510,47580
A000960,2025-03-10,P006,S004,211,5511,1162821,46003
A000961,2025-03-10,P013,S007,330,2664,879120,36563
A000962,2025-03-10,P017,S005,406,1885,765310,56786
A000963,2025-03-10,P003,S005,239,2144,512416,16051
A000964,2025-03-10,P016,S005,147,1046,153762,11206
A000965,2025-03-12,P014,S003,127,862,109474,4429
A000966,2025-03-12,P010,S001,161,299,48139,2226
A000967,2025-03-12,P013,S007,178,2560,455680,11754
A000968,2025-03-12,P015,S003,249,842,209658,13088
A000969,2025-03-12,P002,S004,435,13096,5696760,358075
A000970,2025-03-12,P001,S006,100,14588,1458800,91368
A000971,2025-03-14,P016,S001,181,1115,201815,7825
A000972,2025-03-14,P002,S004,164,12186,1998504,65104
A000973,2025-03-16,P013,S004,100,2635,263500,19243
A000974,2025-03-16,P014,S001,102,839,85578,2293
A000975,2025-03-16,P017,S003,270,1883,508410,20113
A000976,2025-03-16,P013,S003,348,2577,896796,65427
A000977,2025-03-16,P005,S004,100,760,76000,2252
A000978,2025-03-16,P004,S005,167,9299,1552933,84250
A000979,2025-03-16,P017,S002,589,1900,1119100,29494
A000980,2025-03-18,P014,S003,248,848,210304,15151
A000981,2025-03-18,P015,S001,137,802,109874,5961
A000982,2025-03-20,P007,S003,191,645,123195,3192
A000983,2025-03-20,P002,S003,161,11524,1855364,106081
A000984,2025-03-20,P020,S007,565,11448,6468120,464289
A000985,2025-03-20,P016,S006,100,1133,113300,4974
A000986,2025-03-20,P001,S007,100,14457,1445700,85761
A000987,2025-03-20,P003,S005,135,2151,290385,14943
A000988,2025-03-20,P007,S006,100,645,64500,3002
A000989,2025-03-22,P014,S004,261,880,229680,6566
A000990,2025-03-22,P016,S005,158,1041,164478,5980
A000991,2025-03-22,P015,S003,244,796,194224,5493
A000992,2025-03-22,P006,S007,435,5431,2362485,104799
A000993,2025-03-24,P017,S005,219,2015,441285,14561
A000994,2025-03-24,P005,S001,680,772,524960,29518
A000995,2025-03-26,P018,S004,107,1911,204477,13283
A000996,2025-03-26,P019,S004,141,2296,323736,15669
A000997,2025-03-26,P015,S003,143,791,113113,4506
A000998,2025-03-26,P004,S001,252,8969,2260188,98311
A000999,2025-03-28,P016,S002,353,1107,390771,13541
A001000,2025-03-30,P009,S005,147,1437,211239,15631
A001001,2025-03-30,P001,S005,201,14416,2897616,95011
A001002,2025-03-30,P005,S007,153,777,118881,8119
